date,file_dimension,file_down_url,file_format,file_size,file_stored_name,file_title_web,file_urls,root_url,time
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/1999.xls?sfvrsn=7a2f198_2,XLS,94.50,1999,CUADROS ESTADÍSTICOS / Base junio 1992=100,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/1999.xls?sfvrsn=7a2f198_2,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-al-por-mayor,23:31:56
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2014.pdf?sfvrsn=15c51144_3,PDF,18.46,Informe Anual de Medio Ambiente 2014,PUBLICACIONES / Informe anual de medio ambiente,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2014.pdf?sfvrsn=15c51144_3,https://www.ine.gob.cl/estadisticas/economia/energia-y-medioambiente/variables-basicas-ambientales,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-abril-de-2022.pdf?sfvrsn=2ea49ba8_5,PDF,418.75,boletín-índice-de-costos-del-transporte-ict-abril-de-2022,BOLETINES / 2022,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-abril-de-2022.pdf?sfvrsn=2ea49ba8_5,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-costos-del-transporte,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_base.csv?sfvrsn=979b01a6_8&download=true,CSV,1000.50,Estimaciones y proyecciones 2002-2035 región y área urbana y rural,CUADROS ESTADÍSTICOS / Proyecciones anteriores,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_reg_%C3%A1rea_base.csv?sfvrsn=979b01a6_8&download=true,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:31:56
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/metodologia/base-octubre-2011-septiembre-2012/metodolog%C3%ADa-irci-base-octubre-2011-septiembre2012.pdf?sfvrsn=e68c7e7b_4,PDF,1.77,Metodología IRCI Base Octubre 2011 Septiembre2012,METODOLOGÍAS / Base octubre 2011 – septiembre 2012,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/metodologia/base-octubre-2011-septiembre-2012/metodolog%C3%ADa-irci-base-octubre-2011-septiembre2012.pdf?sfvrsn=e68c7e7b_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2001.xls?sfvrsn=5fb9711e_2,XLS,94.50,2001,CUADROS ESTADÍSTICOS / Base junio 1992=100,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2001.xls?sfvrsn=5fb9711e_2,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-al-por-mayor,23:31:56
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2012.pdf?sfvrsn=2b8b33ca_3,PDF,7.27,Informe Anual de Medio Ambiente 2012,PUBLICACIONES / Informe anual de medio ambiente,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2012.pdf?sfvrsn=2b8b33ca_3,https://www.ine.gob.cl/estadisticas/economia/energia-y-medioambiente/variables-basicas-ambientales,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-marzo-de-2022.pdf?sfvrsn=a95fb3df_4,PDF,422.65,boletín-índice-de-costos-del-transporte-ict-marzo-de-2022,BOLETINES / 2022,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-marzo-de-2022.pdf?sfvrsn=a95fb3df_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-costos-del-transporte,23:31:56
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_region_base.csv?sfvrsn=1c01d705_8&download=true,CSV,540.52,Estimaciones y proyecciones 2002-2035 región,CUADROS ESTADÍSTICOS / Proyecciones anteriores,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_region_base.csv?sfvrsn=1c01d705_8&download=true,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:31:57
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/metodologia/base-enero-2010-septiembre-2012/metodolog%C3%ADa-irci-complementarios.pdf?sfvrsn=920d7548_4,PDF,1.32,Metodología IRCI Complementarios,METODOLOGÍAS / Base enero 2010 - septiembre 2012,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/metodologia/base-enero-2010-septiembre-2012/metodolog%C3%ADa-irci-complementarios.pdf?sfvrsn=920d7548_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:31:57
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2002.xls?sfvrsn=88599793_2,XLS,81.50,2002,CUADROS ESTADÍSTICOS / Base junio 1992=100,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2002.xls?sfvrsn=88599793_2,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-al-por-mayor,23:31:57
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2011.pdf?sfvrsn=b385e862_3,PDF,6.37,Informe Anual de Medio Ambiente 2011,PUBLICACIONES / Informe anual de medio ambiente,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2011.pdf?sfvrsn=b385e862_3,https://www.ine.gob.cl/estadisticas/economia/energia-y-medioambiente/variables-basicas-ambientales,23:31:57
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-febrero-de-2022.pdf?sfvrsn=80e70878_4,PDF,422.92,boletín-índice-de-costos-del-transporte-ict-febrero-de-2022,BOLETINES / 2022,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-febrero-de-2022.pdf?sfvrsn=80e70878_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-costos-del-transporte,23:31:57
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_pa%C3%ADs_%C3%A1rea_base.csv?sfvrsn=2ee407c6_8&download=true,CSV,83.56,Estimaciones y proyecciones 2002-2035 país y área urbana y rural,CUADROS ESTADÍSTICOS / Proyecciones anteriores,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-2002-2035_base-2017_pa%C3%ADs_%C3%A1rea_base.csv?sfvrsn=2ee407c6_8&download=true,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:31:57
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/metodologia/base-enero-2010-septiembre-2012/metodolog%C3%ADa-irci.pdf?sfvrsn=bd47b7ac_4,PDF,779.63,Metodología IRCI,METODOLOGÍAS / Base enero 2010 - septiembre 2012,https://www.ine.gob.cl/docs/default-source/indices-referenciales-de-costos-de-las-isapre/metodologia/base-enero-2010-septiembre-2012/metodolog%C3%ADa-irci.pdf?sfvrsn=bd47b7ac_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indices-referenciales-de-costos-de-las-isapre,23:31:57
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2004.xls?sfvrsn=d611f4c7_2,XLS,94.00,2004,CUADROS ESTADÍSTICOS / Base junio 1992=100,https://www.ine.gob.cl/docs/default-source/indice-de-precios-al-por-mayor/cuadros-estadisticos/base-junio-1992-100/2004.xls?sfvrsn=d611f4c7_2,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-precios-al-por-mayor,23:31:57
2022-12-01,MB,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2010.pdf?sfvrsn=d1ea2d8f_3,PDF,5.83,Informe Anual de Medio Ambiente 2010,PUBLICACIONES / Informe anual de medio ambiente,https://www.ine.gob.cl/docs/default-source/variables-basicas-ambientales/publicaciones-y-anuarios/informe-anual-de-medio-ambiente/anuario-medio-ambiente-2010.pdf?sfvrsn=d1ea2d8f_3,https://www.ine.gob.cl/estadisticas/economia/energia-y-medioambiente/variables-basicas-ambientales,23:31:57
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-enero-de-2022.pdf?sfvrsn=bcae72ac_4,PDF,418.86,boletín-índice-de-costos-del-transporte-ict-enero-de-2022,BOLETINES / 2022,https://www.ine.gob.cl/docs/default-source/indice-de-costos-del-transporte/boletines/2022/bolet%C3%ADn-%C3%ADndice-de-costos-del-transporte-ict-enero-de-2022.pdf?sfvrsn=bcae72ac_4,https://www.ine.gob.cl/estadisticas/economia/indices-de-precio-e-inflacion/indice-de-costos-del-transporte,23:31:57
2022-12-01,KB,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2050_base-2017_base-de-datos.csv?sfvrsn=4022da86_11&download=true,CSV,153.96,Estimaciones y proyecciones 1992-2050 país,CUADROS ESTADÍSTICOS / Proyecciones anteriores,https://www.ine.gob.cl/docs/default-source/proyecciones-de-poblacion/cuadros-estadisticos/base-2017/ine_estimaciones-y-proyecciones-de-poblaci%C3%B3n-1992-2050_base-2017_base-de-datos.csv?sfvrsn=4022da86_11&download=true,https://www.ine.gob.cl/estadisticas/sociales/demografia-y-vitales/proyecciones-de-poblacion,23:31:57
